,name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,H,neo,pha,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,G,moid,class,n,per,ma
630,Philippina,2.793201756463257,0.08184125459106582,18.91739463853616,224.7086382014788,278.3544874307684,2.564602620388336,3.021800892538179,4.66833122139564,41056,0,2193,8.7,N,N,50.491,,0.229,5.899,,0.864,0.439,,S,S,,1.6487,MBA,0.211130324011777,1705.107978614758,68.37481229767239
631,Pyrrha,2.66374983398889,0.1901686416239664,2.214923991753938,356.4739402180176,252.9735855098506,2.157188146433157,3.170311521544623,4.34758774354794,40944,0,2883,11.4,N,N,14.419,,0.195,4.1167,,,,,,,,1.14432,MBA,0.2267064729930477,1587.956423330886,260.3685823447661
632,Zelima,3.018797789725098,0.08350842134116207,10.90143295979864,147.2889139941642,189.9221308324427,2.766702751956966,3.27089282749323,5.24516599874162,41079,0,2586,9.73,N,N,33.387,,0.203,11.73,,0.765,0.445,,S,S,,1.75656,MBA,0.1879113613571086,1915.796881040377,41.21584878508492
633,Ute,3.051860009698824,0.1824198589006784,12.2813949281621,133.2439485426531,220.3645208423006,2.495140137344941,3.608579882052706,5.33156999194568,41077,0,2978,9.7,N,N,74.017,,0.043,11.7554,,,,,X,,,1.50185,MBA,0.1848660497482967,1947.355939558161,282.0191836319625
634,Vundtia,3.142078889765255,0.07733312399854232,11.0048382855249,182.8872854952814,227.5941916615291,2.899092113369836,3.385065666160673,5.56972598475789,41499,0,3081,9.01,N,N,94.415,,0.034,11.79,,0.675,0.336,,,C,,1.92018,MBA,0.1769613596907318,2034.342415932819,253.7265760315865
635,Erika,2.91194217620484,0.1690195751858623,7.929658609259944,34.60330512200122,298.4239627932817,2.419766946616902,3.404117405792777,4.96915246808807,41166,0,2796,9.6,N,N,73.147,,0.048,14.603,,,,,,,,1.42165,MBA,0.1983489719217219,1814.982938969169,20.20709568588909
636,Chrysothemis,3.173270409520205,0.1241645541431482,0.2707505788543646,353.3544956081028,173.0449455034235,2.779262703946484,3.567278115093927,5.65286775088647,40960,0,2695,11.5,N,N,24.194,,0.08,3.7,,,,,,,,1.78679,MBA,0.1743586311944045,2064.709946011282,337.2398794352025
637,Moira,2.735272753002417,0.1591211950332417,7.71334851390868,103.1887831642608,128.852078762309,2.300032883802807,3.170512622202026,4.52386005141208,41381,0,2838,10,N,N,59.594,,0.06,9.875,,,,,Ch,,,1.29796,MBA,0.2178728502133708,1652.339883778263,272.3160544252806
638,Latona,3.01789364072281,0.1066810484769734,8.555239771011525,279.835552811695,70.69798496949831,2.69594158293851,3.339845698507109,5.24280973468141,41011,0,2438,8.2,N,N,78.509,,0.123,6.193,,0.836,0.477,,,S,,1.70375,MBA,0.1879958139330513,1914.936255592385,81.95562826401597
639,Brambilla,3.160691785586048,0.08056786895823431,13.37652467209711,234.9094221730059,29.68606001827131,2.906041583987583,3.415341987184512,5.61928971733691,40968,0,2824,9.2,N,N,62.667,,0.055,7.768,,0.753,0.465,,,G,,1.89859,MBA,0.1754005101973391,2052.445569257308,12.82633511764959
640,Agnes,2.220818623598843,0.1279570091769852,1.710039490091081,41.00561917722482,18.01278497331386,1.936649314598586,2.5049879325991,3.30961775991494,40958,0,2423,12.4,N,N,9.446,,0.217,178,,,,,,,,0.948648,MBA,0.2978066818788424,1208.837886808933,213.7678247620583
641,Clara,3.197463736471133,0.1227149142962967,8.149713474546761,5.747527067470222,119.3719486163617,2.805087248084561,3.589840224857705,5.71763784649982,40884,0,2311,9.98,N,N,33.36,,0.1617,8.2308,,0.897,0.417,,L,S,,1.83185,MBA,0.1723834754541037,2088.36722343406,118.6907694934914
642,Scheherezade,3.362567668390783,0.05719056043774991,13.76919640597402,252.1799817963025,230.4510257383366,3.170260538925656,3.55487479785591,6.1661594589949,40960,0,2550,9.7,N,N,64.997,,0.058,14.161,,0.719,0.302,,,P,,2.20656,OMB,0.1598444363824831,2252.189742397888,322.8156251526547
643,Cosima,2.600835811349021,0.1544842508848725,1.040839779925466,109.9777536013681,268.5506109604362,2.199047639358218,3.002623983339824,4.19447496735459,40889,0,3006,11.13,N,N,17.016,,0.271,7.556,,0.816,0.413,,,S,,1.20056,MBA,0.2349820397162078,1532.031981826265,232.9324775677615
644,Agrippina,3.214934995386127,0.1446797750294137,7.035944493124755,0.1270918610411503,84.77290760624258,2.749798923519473,3.680071067252781,5.76456441403552,40867,0,2417,9.94,N,N,28.916,,0.213,32.6,,0.871,0.412,,,S,,1.7773,OMB,0.1709801838570424,2105.507152226472,133.200068543912
645,Kastalia,2.324422571255468,0.2133696420786552,6.902487414502455,302.8072484050375,38.11099192262538,1.828461359187141,2.820383783323794,3.54389485562925,40785,0,2581,12.5,N,N,8.153,,0.269,3.1259,,,,,,,,0.824229,MBA,0.27811950509817,1294.407596018582,184.4550896577248
646,Adelgunde,2.441702237136852,0.1947247732541278,7.331118622391003,254.6793398076791,175.6974620209463,1.966242322656282,2.917162151617422,3.81546306622122,40786,0,2534,11.41,N,N,9.725,,0.508,32.202,,0.719,0.297,,,X,,0.980618,MBA,0.2583241578442813,1393.597884937301,32.85417616421896
647,Pippa,3.214273150621594,0.1956314700219388,9.836384196294633,290.9148180296045,179.3521770313646,2.585460169113443,3.843086132129745,5.76278441673282,40952,0,2225,9.68,N,N,68.27,,0.0509,9.263,,0.676,0.278,,,XC,,1.60238,OMB,0.1710329958736078,2104.857008211663,138.06803930775
648,Josefa,2.545743517664792,0.2789832239602233,12.71548307586612,357.0197506986029,349.5249554448134,1.835523783730829,3.255963251598756,4.06190883693559,40783,0,2192,12.7,N,N,7.726,,0.345,10.481,,,,,Sq,,,0.829815,MBA,0.2426510103833687,1483.612202690726,156.468717369293
649,Amalasuntha,2.457911548753468,0.1840100856377916,2.563066070623129,215.5294313154811,179.0343627462464,2.005631034177226,2.910192063329711,3.85351964653156,40935,0,2399,12.93,N,N,18.609,,0.027,16.582,,,,,,,,1.01155,MBA,0.255773000730563,1407.498050895654,339.553741904529
650,Antikleia,3.022569276307306,0.1008865646812189,10.75857038814897,38.01336395960321,354.5411502708803,2.717632645509664,3.327505907104948,5.25499851414116,41643,0,2233,10.01,N,N,31.895,,0.172,20.299,,0.847,0.489,,,S,,1.72346,MBA,0.1875597644252883,1919.38820729006,80.61314844587388
